"Columns","Min","Max","Mean","SD","Total","NULLS","unique","DataType"
"Make","Acura","Volvo",NA,NA,11914,0,48,"character"
"Model","1 Series","Zephyr",NA,1486.006,11914,0,915,"character"
"Year","1990","2017",2010.384,7.58,11914,0,28,"integer"
"Engine.Fuel.Type","","regular unleaded",NA,NA,11914,0,11,"character"
"Engine.HP","55","1001",249.386,109.192,11914,69,357,"integer"
"Engine.Cylinders","0","16",5.629,1.781,11914,30,10,"integer"
"Transmission.Type","AUTOMATED_MANUAL","UNKNOWN",NA,NA,11914,0,5,"character"
"Driven_Wheels","all wheel drive","rear wheel drive",NA,NA,11914,0,4,"character"
"Number.of.Doors","2","4",3.436,0.881,11914,6,4,"integer"
"Market.Category","Crossover","Performance,Hybrid",NA,NA,11914,0,72,"character"
"Vehicle.Size","Compact","Midsize",NA,NA,11914,0,3,"character"
"Vehicle.Style","2dr Hatchback","Wagon",NA,NA,11914,0,16,"character"
"highway.MPG","12","354",26.637,8.863,11914,0,59,"integer"
"city.mpg","7","137",19.733,8.988,11914,0,69,"integer"
"Popularity","2","5657",1554.911,1441.855,11914,0,48,"integer"
"MSRP","2000","2065902",40594.737,60109.104,11914,0,6049,"integer"
